,link
0,https://www.dawn.com/news/1447790/teenage-girl-kidnapped-allegedly-raped-in-karachis-mehmoodabad
1,https://www.thenews.com.pk/latest/712364-indian-actress-kondapalli-sravani-allegedly-commits-suicide
2,https://www.thenews.com.pk/print/626956-governor-takes-notice-of-chinese-student-s-alleged-harassment
3,https://www.thenews.com.pk/print/715032-cabinet-condemns-motorway-rape-incident
4,https://www.dawn.com/news/1571280
5,https://www.dawn.com/news/1579757/decomposed-body-of-minor-boy-found-in-tank
6,https://www.thenews.com.pk/print/671265-teenage-girl-killed
7,https://www.dawn.com/news/1541283
8,https://www.dawn.com/news/1345304
9,https://www.thenews.com.pk/tns/detail/596493-not-an-isolated-event
10,https://www.dawn.com/news/1584059
11,https://www.dawn.com/news/1474960
12,https://www.dawn.com/news/1578807
13,https://www.dawn.com/news/1579592
14,https://www.dawn.com/news/1367292
15,https://www.thenews.com.pk/print/162562-Young-man-acquitted-of-forced-marriage-charge
16,https://www.dawn.com/news/1533307
17,https://www.dawn.com/news/1380162
18,https://www.dawn.com/news/1352999/man-kills-wife-sister-in-suspected-honour-killing
19,https://www.dawn.com/news/1406976/uk-schools-urged-to-take-action-on-forced-marriage
20,https://www.dawn.com/news/1560352
21,https://www.thenews.com.pk/print/629450-teenage-girl-raped-on-promise-of-marriage-in-haripur
22,https://www.thenews.com.pk/print/753078-minor-girl-s-death-5-doctors-punished-for-negligence-after-11-years
23,https://www.dawn.com/news/1568273
24,https://www.dawn.com/news/1590661
25,https://www.thenews.com.pk/print/738665-women-protest-against-malawi-rape-impunity
26,https://www.thenews.com.pk/print/652780-domestic-violence-during-covid-19
27,https://www.dawn.com/news/1538508/us-supreme-court-appears-divided-in-major-abortion-case
28,https://www.thenews.com.pk/print/462765-kp-assembly-lauded-for-raising-marriage-age-to-18
29,https://www.dawn.com/news/1591104/rawalpindi-court-sentences-child-rapist-to-death-on-3-counts
30,https://www.thenews.com.pk/print/715503-girl-dies-after-falling-in-school-in-karachi
31,https://www.dawn.com/news/1578178
32,https://www.thenews.com.pk/print/703221-allegedly-taking-bribe-from-pessi-offices
33,https://www.thenews.com.pk/print/666703-china-accuses-us-of-selfishness-blackmail-over-cutting-ties-with-who
34,https://www.thenews.com.pk/print/140220-Honour-killing-a-legal-perspective
35,https://www.thenews.com.pk/print/719516-gujranwala-girl-retracts-rape-allegations-against-cop-in-statement-to-court
36,https://www.dawn.com/news/1200715
37,https://www.dawn.com/news/1567771
38,https://www.dawn.com/news/1592396/16-days-of-activism-drive-launched-against-gender-based-violence
39,https://www.dawn.com/news/1513788
40,http://herald.dawn.com/news/1153470
41,https://www.dawn.com/news/1206329
42,https://www.thenews.com.pk/amp/435655-adnan-siddiqui-urges-people-to-learn-more-about-child-abuse
43,https://www.thenews.com.pk/print/737338-plea-for-moving-christian-girl-to-shelter-home-dismissed
44,https://www.thenews.com.pk/print/726658-six-teenagers-detained-after-harassment-incident-at-ku
45,https://www.thenews.com.pk/archive/print/512432
46,https://www.dawn.com/news/1532960/facebook-plan-to-encrypt-platforms-risks-child-abuse
47,https://www.dawn.com/news/1581157/minor-boy-kills-aunt-for-honour
48,https://www.thenews.com.pk/latest/428583-key-accused-in-honour-killing-of-rimsha-wassan-arrested
49,https://www.thenews.com.pk/latest/713367-punjab-law-minister-says-motorway-gang-rape-blind-incident-with-no-evidence
50,https://www.dawn.com/news/1391315/varsities-role-in-curbing-gender-based-violence-stressed
51,https://www.thenews.com.pk/print/713643-aurat-foundation-condemns-gang-rape-on-motorway
52,https://www.dawn.com/news/1516213
53,https://www.thenews.com.pk/print/712189-police-stations-in-kp-yet-to-get-financial-autonomy
54,https://www.dawn.com/news/1583926
55,https://www.dawn.com/trends/violence-against-women
56,https://www.thenews.com.pk/print/753954-girl-s-murder-case-in-badaber-police-officials-say-main-accused-identified
57,https://www.thenews.com.pk/print/538644-bureaucracy-making-properties-not-doing-duty-shc
58,https://www.dawn.com/news/1012432/womans-suicide-turns-out-to-be-honour-killing
59,https://www.thenews.com.pk/print/543414-50-women-28-men-killed-in-name-of-honour-in-sindh-this-year-police
60,https://www.thenews.com.pk/magazine/instep-today/157073-Sharmeen-Obaids-short-filmnarrated-by-Madonna
61,https://www.dawn.com/news/1508486
62,https://www.dawn.com/news/1201129
63,https://www.thenews.com.pk/print/439329-a-woman-who-speaks-up-for-herself-should-be-appreciated
64,https://www.dawn.com/news/1463990
65,https://www.dawn.com/in-depth/
66,https://www.thenews.com.pk/print/248469-pa-turns-orange-for-drive-against-violence
67,https://www.thenews.com.pk/print/507470-man-held-for-harassing-woman
68,https://www.dawn.com/news/1594289/gender-based-violence
69,https://www.thenews.com.pk/print/707899-uae-issues-decree-ending-boycott-of-israel
70,https://www.dawn.com/news/1364613
71,https://www.thenews.com.pk/print/743846-missing-boy-found-dead
72,https://www.thenews.com.pk/print/741086-30-new-vehicles-handed-over-to-rawalpindi-police-stations
73,https://www.dawn.com/news/1575283
74,https://www.dawn.com/news/1559501
75,https://www.dawn.com/news/672129
76,https://www.thenews.com.pk/archive/print/183546
77,https://www.thenews.com.pk/print/217788-SC-orders-arrest-of-absconding-honour-killing-accused
78,https://www.thenews.com.pk/print/735837-minor-girl-abducted-in-surjani-town
79,https://www.dawn.com/news/954812/11-booked-over-forced-marriage
80,https://www.dawn.com/news/1564313
81,https://www.dawn.com/news/1535726
82,https://www.thenews.com.pk/print/151458-Woman-gets-award-for-working-to-end-gender-based-violence
83,https://www.thenews.com.pk/print/274781-pfa-ex-worker-held-for-blackmail
84,https://www.thenews.com.pk/latest/669245-the-oscars-allegedly-shunned-film-selma-over-black-lives-matter-protest
85,https://www.dawn.com/news/1261242
86,https://www.dawn.com/news/1246035
87,https://www.thenews.com.pk/print/728504-the-girl-child
88,https://www.thenews.com.pk/archive/print/244241-double-murder-case-of-ppp-sb-activists
89,https://www.dawn.com/news/1395209
90,https://www.thenews.com.pk/print/728250-fir-for-allegedly-waging-war-against-pakistan-four-penal-sections-removed-for-being-redundant
91,https://www.thenews.com.pk/latest/734576-cardi-bs-cousin-marcelo-almanzar-and-ex-husband-offset-were-detained-for-this-reason
92,https://www.thenews.com.pk/print/696194-boy-13-kills-friend
93,https://www.dawn.com/news/1595114/woman-allegedly-raped-at-gunpoint
94,https://www.dawn.com/news/1241458
95,https://www.thenews.com.pk/print/495039-us-says-latest-taliban-talks-most-productive-so-far
96,https://www.thenews.com.pk/print/736654-new-policy-unveiled-under-sindh-police-welfare-fund
97,https://www.dawn.com/news/1592162/eu-delegation-launches-campaign-to-mark-16-days-of-activism-against-gender-based-violence
98,https://www.thenews.com.pk/print/678617-house-passes-sweeping-police-overhaul-after-floyd-s-death
99,https://www.dawn.com/news/1548746/four-year-old-ajk-boy-killed-in-indian-shelling
100,https://www.thenews.com.pk/latest/113832-Bilawal-condemns-Mardan-blast
101,https://www.thenews.com.pk/print/56024-laws-inadequate-to-punish-culprits-in-child-abuse-cases
102,https://www.thenews.com.pk/archive/print/268641-judgment-reserved-in-honour-killing-case
103,https://www.dawn.com/news/1584044
104,https://www.dawn.com/news/1587193
105,https://www.thenews.com.pk/latest/695380-hamza-ali-abbasi-welcomes-baby-boy-with-naimal-khawar
106,https://www.dawn.com/news/846465/zardari-signs-bill-harassment-of-women-is-now-a-crime
107,https://www.dawn.com/news/1174188
108,https://www.dawn.com/news/1365286/man-found-hanging-from-tree-in-rawalpindi-in-alleged-honour-killing
109,https://www.dawn.com/news/1470975
110,https://www.dawn.com/news/1271213
111,https://www.dawn.com/news/1197110
112,https://www.dawn.com/news/1403802/police-exhume-remains-of-pakistani-origin-italian-woman-over-honour-killing-reports
113,https://www.dawn.com/news/1569681
114,https://www.thenews.com.pk/print/643483-covid-19-and-child-abuse
115,https://www.dawn.com/news/1564774
116,https://www.dawn.com/news/1409629
117,https://www.thenews.com.pk/print/733508-girl-dies-in-exchange-of-fire-between-police-robbers-in-lahore
118,https://www.thenews.com.pk/print/248924-violence-against-women-flayed
119,https://www.thenews.com.pk/print/683583-trump-s-war
120,https://www.thenews.com.pk/print/538663-three-held-for-assaulting-boy
121,https://www.thenews.com.pk/print/494192-pakistan-hindu-council-protests-against-forced-conversions-of-hindu-girls
122,https://www.thenews.com.pk/print/739634-police-officer-dies-of-coronavirus
123,https://www.dawn.com/news/659889/gender-based-violence
124,https://www.dawn.com/news/1578362/murder-by-another-name
125,https://www.thenews.com.pk/latest/715215-police-detain-third-accomplice-of-two-main-suspects-in-motorway-gang-rape-case
126,https://www.thenews.com.pk/print/168120-PurAzam-campaign-launched
127,https://www.dawn.com/news/1566088/us-supreme-court-rejects-key-challenge-to-abortion-rights
128,https://www.thenews.com.pk/print/518718-youth-held-for-allegedly-molesting-step-sister
129,https://www.dawn.com/news/1333091
